time0,time1,time2,time4,time6,time12,time24,time48,time72
10.026107,10.49077,9.77416,9.947119,9.60531,9.691625,9.783895,9.250977,9.457681
6.098555,6.230553,6.135793,6.471649,12.290101,7.70241,10.759006,12.329057,12.585764
9.95148,9.883819,9.613372,9.973404,9.574606,9.679686,9.744688,9.778141,9.667109
8.292305,8.844916,9.277073,9.144309,10.560235,8.396741,9.295202,10.759564,11.070876
9.026879,9.251686,9.55151,9.108861,8.284722,9.290421,8.979494,8.014683,8.243577
9.093652,8.27304,7.283266,7.397717,6.73446,6.895358,6.784298,6.456631,6.599622
7.389468,7.412233,6.526086,6.536189,6.88479,6.527226,6.78096,6.976201,7.14302
7.887815,7.673003,7.717503,7.911566,8.108623,7.883172,7.983637,7.385234,7.10052
6.470701,6.477029,6.310623,6.347663,6.698479,6.489157,6.511113,6.76786,6.819979
6.844414,7.189827,7.320103,7.445046,8.398713,7.604677,8.319084,8.096,7.992426
6.755395,6.901526,7.379846,7.266607,6.978948,7.044597,7.11339,7.063885,6.731722
8.410128,8.467046,7.580581,6.73287,6.56673,6.563635,6.483144,6.675926,6.760367
9.760945,9.186287,9.664824,9.959262,10.444878,10.217478,10.34091,10.14483,10.054845
6.236187,6.388547,6.151772,6.214876,7.044705,6.346821,6.424156,7.387086,7.090157
6.417711,6.310643,6.634386,6.503441,6.61033,6.702774,6.408538,7.364725,7.492747
8.010191,7.762171,7.508101,8.143545,7.508234,8.603449,8.429246,7.725217,7.425365
6.390537,6.217898,6.369403,6.265925,7.266642,6.32593,6.206646,9.217556,9.536599
11.05433,10.603589,10.584889,10.33478,9.652055,10.017521,9.671317,9.558182,9.814854
6.289128,6.168567,6.243785,6.276125,7.037566,6.469299,6.664521,7.089821,7.394319
6.427379,6.361548,6.285703,6.247116,6.458172,6.268966,6.287052,6.670163,6.566278
9.804692,9.433185,9.203993,9.598579,9.082382,9.430683,9.117852,8.379371,8.42161
8.671335,9.580078,10.22741,8.619543,7.472165,7.558113,7.417455,7.166928,7.402572
6.282351,6.698092,6.789052,7.05331,7.320291,7.00542,6.951783,7.286723,7.348127
6.428466,6.430443,6.46645,6.40179,6.547941,6.433124,6.292776,6.804074,6.658062
6.651951,6.541924,6.38399,6.574025,6.374885,6.496196,6.549196,6.302416,6.376126
9.195946,8.69988,9.312246,10.849888,10.31932,10.817047,10.511169,9.990998,9.969686
7.6144,9.576876,7.259066,6.902005,6.494667,7.185772,6.746389,6.599222,6.798339
8.780012,8.73428,8.410416,8.290973,8.389464,7.893577,8.281186,8.022355,7.929772
11.026605,10.527978,10.272068,10.163973,9.544232,9.870632,9.315766,9.546927,9.347464
8.556187,9.503218,9.489431,9.681333,10.438099,9.656258,10.190439,10.048002,10.21
10.54031,10.673844,10.289979,10.115455,10.543479,10.029081,10.454705,10.576435,10.732552
6.648452,7.210892,7.517042,7.115979,7.039829,7.255893,7.148796,6.947021,7.070277
7.261204,6.952519,7.26946,8.618642,7.635718,8.82127,8.216333,7.787889,7.642351
6.25239,6.279295,6.225391,6.239755,6.46082,6.208843,6.222371,6.731041,7.074445
7.999667,8.986075,8.436143,9.271496,10.011601,9.572408,10.01174,9.815688,10.112892
6.392245,6.627602,6.44133,6.572497,7.575804,6.615243,6.93617,7.936149,7.797542
9.43619,9.242426,8.271233,7.758388,6.633519,7.087303,6.548003,6.412043,6.358199
5.867509,6.1101,5.919392,5.86759,7.004018,6.05542,6.275761,6.921361,6.520092
7.485787,7.410552,8.055666,7.667268,7.310764,7.88978,7.608762,7.533969,7.645338
12.135248,11.701779,10.381739,9.998084,7.930025,9.097976,8.120722,7.485066,7.574465
8.306433,7.600932,7.583994,7.500575,7.084946,7.2904,7.178363,6.976876,6.744855
7.345346,7.944541,8.609407,8.037452,7.636951,7.680103,7.699454,7.622792,7.676626
12.978055,12.892506,12.595684,11.618713,10.613459,11.140523,10.25082,10.796397,11.21639
6.245077,6.447991,6.813981,6.209517,6.367062,6.207841,6.338218,6.443946,6.459152
10.141717,10.585547,10.088674,8.492088,7.568015,8.276942,7.905261,7.224361,7.442733
8.008148,7.629611,6.604908,6.584518,6.282481,6.377109,6.269115,6.220328,6.33147
13.081232,13.637802,13.454495,13.709432,13.720431,13.782126,14.008148,13.551354,13.716943
6.247527,6.435247,6.636272,6.753605,7.018966,6.833247,6.962524,7.528546,8.068562
6.246387,6.210196,6.375442,6.288905,6.1548,6.296278,6.28373,6.488669,6.947425
9.025473,10.572041,11.189172,11.117448,9.868881,10.729742,8.96209,11.318632,11.835058
6.743292,6.447965,6.886993,7.288655,9.213507,7.852748,8.790777,9.172904,9.514934
6.24524,6.998421,8.151997,8.777961,9.536004,10.226565,9.802888,9.445161,8.516159
8.362778,8.069899,8.288465,8.421487,9.284698,9.113929,9.108431,9.09123,8.80572
7.991303,8.588478,9.750472,9.317469,9.99421,10.085897,10.273703,9.686652,9.633282
7.663868,8.109159,8.637055,7.629491,7.450892,7.395733,7.051693,7.097965,7.045183
6.33068,7.193341,7.63752,6.632262,6.587237,6.577147,6.394326,6.443286,6.550193
6.51429,7.219233,7.304686,7.769569,8.269354,7.509819,8.315708,8.144482,8.020521
6.342327,6.209409,6.411709,6.450922,6.721977,6.28039,6.303194,6.875517,6.677294
7.859253,8.154784,8.716558,9.207565,7.156704,9.054981,7.381499,7.414392,7.46221
9.859683,9.859683,9.859683,9.859683,9.859683,9.859683,9.859683,9.859683,9.859683
6.847523,7.537483,7.747623,6.973556,6.860998,7.161013,6.681207,6.751535,6.992392
8.680513,8.690644,8.701961,8.416842,8.443144,8.175745,8.2681,8.079898,7.963443
9.672829,10.68336,11.001458,11.458476,11.657333,11.68529,11.893256,11.610087,11.445208
7.233947,7.605969,8.194504,7.923123,7.212808,7.608726,7.3051,7.200687,7.169427
7.228748,8.071646,8.85619,7.834427,7.593426,8.17274,7.488907,7.569913,7.593633
8.083257,7.365813,7.187076,7.118222,7.021262,7.313952,6.44553,6.602653,6.593017
7.349563,7.08116,7.212517,7.008649,7.006627,6.829154,7.06496,7.139661,7.003559
6.431117,6.528349,6.558303,6.57712,7.381413,6.657347,6.93416,7.722467,7.74717
9.253371,10.527283,11.153568,12.327644,13.172921,12.884715,13.048052,13.054851,12.526018
7.017425,7.51052,7.616316,8.727794,9.833882,9.318897,9.912629,9.967735,9.920251
11.243395,10.888962,11.45502,11.505322,10.947577,11.486493,11.347717,11.267819,11.072656
6.471763,6.516657,6.632567,7.030706,6.827762,7.080411,7.099427,6.637295,6.68315
8.232528,8.107479,7.569684,7.407713,7.058061,7.281835,6.995508,6.857176,6.792108
8.642202,7.881194,8.065531,8.04959,7.391037,7.861952,7.627595,7.563071,7.433375
8.197932,8.741083,9.5306,11.003291,11.718442,11.356408,11.466545,11.734403,11.43792
8.518095,8.799869,8.798686,9.715693,9.919711,10.072968,9.944209,9.819457,9.96104
6.661735,6.516544,6.405346,6.539673,7.403258,6.436738,6.752702,7.661755,7.967821
6.220802,6.248498,6.47427,6.195637,6.93101,6.401079,6.595533,7.785326,7.882641
7.776492,7.58493,7.307455,7.804374,7.993827,7.879287,8.135988,8.058903,7.879503
8.221536,7.922808,7.657602,8.097689,7.629409,8.506393,8.06081,7.562917,7.323029
9.101445,9.715418,10.319361,9.009871,8.919913,9.081907,8.527947,8.75813,8.743326
8.250342,8.156447,7.767733,8.017456,7.278697,7.837021,7.477628,7.029943,6.986399
6.223285,6.304777,6.312924,6.797469,7.151821,6.561539,6.925295,6.893375,7.100329
7.747676,7.445716,8.187378,10.20274,10.648236,10.714314,10.994242,10.941146,10.70335
7.853451,7.791423,8.201068,7.924656,8.777107,8.093982,7.780154,9.341256,9.942901
6.300666,6.266424,6.360639,6.597403,7.26613,6.813673,6.766073,7.996142,7.984364
11.072013,12.126007,12.496795,10.895959,10.817863,10.756297,10.583045,10.436374,11.644685
8.987896,8.668142,8.602403,9.388586,10.419369,9.626456,10.109059,10.36109,10.48001
6.230188,6.054351,6.218465,6.423083,9.552674,6.890815,7.502397,9.399516,7.900689
6.384783,6.331753,6.311113,6.468382,6.852447,6.57066,6.694502,6.893915,6.999418
11.490506,11.578013,12.733292,11.277797,9.83768,9.638603,8.767577,9.938599,12.134738
6.998645,7.145336,6.615814,6.722083,9.038061,6.604274,7.71245,8.676882,8.607038
6.441499,6.342697,6.399011,6.374024,6.446237,6.189238,6.358624,6.702351,6.52985
9.835295,9.171712,9.036882,8.121658,8.527463,7.685696,7.411093,7.801361,7.876386
6.386062,6.570533,6.295785,6.179555,6.090531,6.213429,6.176371,6.138609,6.329985
8.837805,8.394363,7.967466,7.685984,8.065223,7.806903,8.336195,7.989081,7.888537
9.478711,9.384712,10.290206,9.469653,8.646668,8.711254,8.512808,8.489963,8.611193
7.025346,6.972412,6.688476,6.517099,6.332757,6.667165,6.440356,6.380535,6.43768
10.798427,10.905251,11.34445,10.674683,9.411055,10.124553,9.121158,9.495358,9.580454
6.999501,7.07189,7.701313,6.955046,6.850878,6.821785,6.737451,6.47259,6.609818
8.265919,8.170445,8.192874,8.832327,8.739404,8.890882,9.024638,8.719074,8.496938
6.725604,6.475062,7.529235,6.815141,6.508465,6.483378,6.276877,6.650632,6.746668
6.673922,6.840706,6.326358,6.207723,6.126687,6.280445,6.197459,6.361779,6.95393
7.10564,7.228965,7.211949,6.74656,7.581644,7.038867,7.527708,7.632859,7.716551
7.593481,8.422616,9.153635,8.309048,9.307494,8.527447,9.239036,9.34645,9.412385
11.544106,11.051625,11.346587,10.861966,10.165209,10.540301,10.228441,10.291402,10.179884
6.294277,6.200171,6.728526,6.501593,7.070851,6.760193,6.695276,6.937832,7.021749
6.881519,7.07143,7.363493,6.474371,5.934403,6.528456,6.028912,6.03075,5.813361
6.039407,6.182515,6.094116,6.169331,6.459332,6.193701,6.208895,8.247336,7.414368
6.14936,6.37586,6.155241,6.229328,7.411039,6.341028,6.252771,8.848573,9.012637
6.955774,7.039258,7.922199,7.356854,6.775452,7.346418,6.885164,7.103969,7.039343
11.584261,11.014356,11.608334,11.541237,10.81453,11.169502,10.089089,10.657279,10.591346
6.392541,6.372201,6.213977,6.643158,6.423375,6.788465,6.635484,6.465467,6.55589
6.30847,6.344528,6.505033,6.415054,6.737201,6.538877,6.492243,7.241076,7.240739
7.263885,7.426686,8.1106,8.185192,7.908151,7.859486,7.780747,8.057328,8.012895
7.00987,6.735002,6.990667,6.801839,6.755338,7.137116,6.691628,6.836332,7.042971
9.092333,9.133264,9.214507,9.186275,9.842685,9.479336,9.728121,9.794168,9.703207
6.802747,6.716258,6.6153,6.999882,8.264894,7.102225,7.737185,8.364009,8.676703
6.100754,6.180201,6.153817,6.321855,6.666197,6.41655,6.475375,6.4892,6.552886
6.251017,6.511386,6.396283,6.308125,7.170173,6.458877,6.774926,7.470645,7.672962
7.103271,7.564182,8.386375,7.731524,7.721995,7.880241,7.560891,7.962889,7.712837
7.053918,7.107145,8.090678,8.207249,8.644505,8.409706,8.510826,8.667048,8.406658
6.396127,6.451498,7.257449,8.723621,8.867434,9.830946,9.136476,10.217613,9.525275
6.184744,6.158103,6.13896,6.206122,6.958654,6.645388,7.361835,7.029106,6.855661
7.650289,8.16047,8.600344,7.912789,7.78134,7.775949,7.637876,7.88491,7.872489
7.810213,7.871883,7.826452,7.629017,8.06596,8.142681,7.996032,7.654618,7.667205
10.394168,10.026761,9.695417,9.196574,8.466828,8.748721,8.361486,8.149946,8.200455
8.215472,8.88948,8.67984,8.328637,8.077617,8.472556,8.208862,7.729705,8.307512
12.948353,12.520749,12.010502,10.742856,12.845998,10.910048,12.243142,13.046776,13.078512
8.136254,10.70612,11.713981,10.950258,10.649235,11.682136,11.345569,10.550396,10.76092
9.676431,9.544992,8.859243,9.489293,9.972557,9.805265,9.656515,9.895043,9.789683
6.160168,6.211975,6.340507,6.193145,6.512412,6.247254,6.330419,6.246145,6.055091
6.689016,6.341447,6.398002,6.595009,7.371067,6.765772,6.995698,7.441842,7.428789
8.034928,7.475689,7.144001,7.2332,6.603237,7.265029,6.625094,6.633572,6.814957
11.632187,11.172046,11.794786,11.827476,11.078421,11.569949,11.101337,10.680447,10.646871
6.194271,6.28902,6.161722,6.194707,6.633548,6.180984,6.30017,6.748583,6.87948
6.395198,6.649418,7.087932,6.811843,6.349933,6.881837,6.656192,6.407845,6.307884
6.417516,6.231238,6.271085,6.361607,6.596121,6.479616,6.445014,6.828487,7.287164
9.077543,8.786473,8.764447,8.725582,8.491164,8.803782,8.893744,8.563237,8.326065
8.940834,8.685344,8.449259,8.106355,8.785335,8.301554,8.627041,8.826625,9.159597
7.78584,7.669185,7.475476,7.446093,8.080064,7.9618,7.967001,7.802725,7.92746
6.84126,7.296443,7.671558,6.938323,7.080463,7.062405,7.177977,7.068149,7.09546
6.332786,6.342865,6.280323,6.32291,8.927348,6.684932,7.669104,9.350514,10.036671
6.057462,6.281955,6.6675,7.346281,7.546324,7.303325,7.318072,8.748649,9.182803
6.697446,6.48404,6.704136,6.813044,8.002187,6.994219,7.215658,8.16486,8.062496
9.200389,8.614992,8.013288,7.690291,8.109897,7.880461,8.053449,7.974192,7.630444
9.48052,8.732947,8.155419,8.743466,7.649263,9.154836,8.877592,7.020419,7.762597
8.238632,8.130626,9.151298,8.98424,9.063676,9.241762,9.575706,8.893361,9.052816
7.254929,7.121572,7.139934,6.957226,7.034391,7.3061,7.250291,7.100802,7.237008
7.194672,6.867354,6.636325,7.133158,7.804928,7.540633,8.115979,8.394116,9.67906
6.193019,6.276733,6.323426,6.452972,6.566527,6.25885,6.574811,6.665039,6.70218
6.583904,6.428478,6.468003,6.643597,7.166161,6.767782,6.923119,7.091069,6.886613
7.281987,8.089982,8.67329,9.390821,10.711736,9.481663,8.748801,12.296628,10.454882
8.551039,8.848194,9.504302,9.680452,10.576584,9.981041,10.173525,10.616904,10.625765
6.112981,6.144922,6.38005,6.349174,6.220903,6.353914,6.176228,6.398944,7.048387
7.6046,7.25309,7.545629,7.375562,8.228163,7.781785,8.287562,8.249494,7.80442
9.297147,10.196369,10.238771,10.055158,8.589069,9.929993,9.301166,8.617784,8.748249
13.699102,13.687509,13.60842,13.699317,13.482199,13.46145,13.531797,13.37474,13.636366
11.325272,10.806065,10.89295,10.571016,9.498003,10.440935,9.854546,9.232558,9.8127
6.610722,7.18748,7.284084,6.685976,6.583165,6.74779,6.492566,6.326511,6.449859
11.996833,11.41516,11.7779,11.95369,12.248498,11.798098,12.302291,12.238876,11.862151
6.263452,6.413716,6.644298,6.24629,6.338997,6.376079,6.405759,6.222361,6.225539
6.591953,6.918091,6.79815,6.969119,7.186922,7.021532,6.999598,7.387752,6.974706
8.099828,7.758534,7.321983,8.542181,8.750529,8.518645,8.984435,9.300159,8.892722
6.249433,6.253475,6.200875,6.236431,6.516358,6.325977,6.284995,6.670307,7.28638
9.494062,9.668939,9.540421,9.623723,9.662803,9.477915,9.645311,9.75664,10.102525
6.223031,6.221052,6.19708,6.257308,6.589056,6.196648,6.234194,6.688507,6.58993
8.684786,8.822131,9.627263,8.719896,9.119966,8.816038,8.651827,9.837132,10.862016
9.010496,9.467594,9.950667,10.142969,10.017463,10.190819,9.919342,9.887854,9.783034
